#times,        event_counts,  pop_size       
0.000E+00,     0.000E+00,     1.200E+02      
2.000E+00,     1.000E+00,     1.190E+02      
4.000E+00,     1.688E+00,     1.183E+02      
6.100E+00,     2.750E+00,     1.173E+02      
8.100E+00,     3.000E+00,     1.170E+02      
1.010E+01,     3.688E+00,     1.163E+02      
1.210E+01,     4.625E+00,     1.154E+02      
1.410E+01,     5.313E+00,     1.147E+02      
1.610E+01,     5.875E+00,     1.141E+02      
1.810E+01,     6.813E+00,     1.132E+02      
2.000E+01,     7.500E+00,     1.125E+02      
2.200E+01,     8.438E+00,     1.116E+02      
2.400E+01,     9.063E+00,     1.109E+02      
2.600E+01,     1.000E+01,     1.100E+02      
2.800E+01,     1.050E+01,     1.095E+02      
3.000E+01,     1.125E+01,     1.088E+02      
3.200E+01,     1.188E+01,     1.081E+02      
3.400E+01,     1.269E+01,     1.073E+02      
3.600E+01,     1.313E+01,     1.069E+02      
3.800E+01,     1.394E+01,     1.061E+02      
4.000E+01,     1.444E+01,     1.056E+02      
4.200E+01,     1.500E+01,     1.050E+02      
4.400E+01,     1.563E+01,     1.044E+02      
4.600E+01,     1.625E+01,     1.038E+02      
4.800E+01,     1.694E+01,     1.031E+02      
5.000E+01,     1.775E+01,     1.023E+02      
5.200E+01,     1.819E+01,     1.018E+02      
5.400E+01,     1.838E+01,     1.016E+02      
5.600E+01,     1.888E+01,     1.011E+02      
5.800E+01,     1.963E+01,     1.004E+02      
6.000E+01,     2.019E+01,     9.981E+01      
6.200E+01,     2.081E+01,     9.919E+01      
6.400E+01,     2.144E+01,     9.856E+01      
6.600E+01,     2.231E+01,     9.769E+01      
6.800E+01,     2.269E+01,     9.731E+01      
7.000E+01,     2.369E+01,     9.631E+01      
7.200E+01,     2.419E+01,     9.581E+01      
7.400E+01,     2.494E+01,     9.506E+01      
7.610E+01,     2.538E+01,     9.463E+01      
7.810E+01,     2.544E+01,     9.456E+01      
8.010E+01,     2.581E+01,     9.419E+01      
8.210E+01,     2.644E+01,     9.356E+01      
8.410E+01,     2.681E+01,     9.319E+01      
8.610E+01,     2.769E+01,     9.231E+01      
8.810E+01,     2.850E+01,     9.150E+01      
9.010E+01,     2.894E+01,     9.106E+01      
9.210E+01,     2.919E+01,     9.081E+01      
9.410E+01,     2.975E+01,     9.025E+01      
9.610E+01,     3.019E+01,     8.981E+01      
9.810E+01,     3.075E+01,     8.925E+01      
1.001E+02,     3.163E+01,     8.838E+01      
