#times,        event_counts,  pop_size       
0.000E+00,     0.000E+00,     1.200E+02      
2.005E+00,     0.000E+00,     1.200E+02      
4.005E+00,     0.000E+00,     1.200E+02      
6.005E+00,     0.000E+00,     1.200E+02      
8.005E+00,     0.000E+00,     1.200E+02      
1.000E+01,     0.000E+00,     1.200E+02      
1.200E+01,     0.000E+00,     1.200E+02      
1.400E+01,     0.000E+00,     1.200E+02      
1.600E+01,     0.000E+00,     1.200E+02      
1.800E+01,     0.000E+00,     1.200E+02      
2.000E+01,     0.000E+00,     1.200E+02      
2.200E+01,     0.000E+00,     1.200E+02      
2.400E+01,     0.000E+00,     1.200E+02      
2.600E+01,     0.000E+00,     1.200E+02      
2.800E+01,     0.000E+00,     1.200E+02      
3.000E+01,     0.000E+00,     1.200E+02      
3.200E+01,     0.000E+00,     1.200E+02      
3.400E+01,     0.000E+00,     1.200E+02      
3.600E+01,     0.000E+00,     1.200E+02      
3.800E+01,     0.000E+00,     1.200E+02      
4.000E+01,     0.000E+00,     1.200E+02      
4.200E+01,     0.000E+00,     1.200E+02      
4.400E+01,     0.000E+00,     1.200E+02      
4.600E+01,     0.000E+00,     1.200E+02      
4.800E+01,     0.000E+00,     1.200E+02      
5.000E+01,     0.000E+00,     1.200E+02      
5.200E+01,     0.000E+00,     1.200E+02      
5.400E+01,     0.000E+00,     1.200E+02      
5.600E+01,     0.000E+00,     1.200E+02      
5.800E+01,     0.000E+00,     1.200E+02      
6.000E+01,     0.000E+00,     1.200E+02      
6.200E+01,     0.000E+00,     1.200E+02      
6.400E+01,     0.000E+00,     1.200E+02      
6.600E+01,     0.000E+00,     1.200E+02      
6.800E+01,     0.000E+00,     1.200E+02      
7.000E+01,     0.000E+00,     1.200E+02      
7.200E+01,     0.000E+00,     1.200E+02      
7.400E+01,     0.000E+00,     1.200E+02      
7.600E+01,     0.000E+00,     1.200E+02      
7.800E+01,     0.000E+00,     1.200E+02      
8.000E+01,     0.000E+00,     1.200E+02      
8.200E+01,     0.000E+00,     1.200E+02      
8.400E+01,     0.000E+00,     1.200E+02      
8.600E+01,     0.000E+00,     1.200E+02      
8.800E+01,     0.000E+00,     1.200E+02      
9.000E+01,     0.000E+00,     1.200E+02      
9.200E+01,     0.000E+00,     1.200E+02      
9.400E+01,     0.000E+00,     1.200E+02      
9.600E+01,     0.000E+00,     1.200E+02      
9.800E+01,     0.000E+00,     1.200E+02      
1.000E+02,     0.000E+00,     1.200E+02      
