#times,        event_counts,  pop_size       
0.000E+00,     0.000E+00,     1.200E+02      
2.000E+00,     2.500E-01,     1.198E+02      
4.010E+00,     4.375E-01,     1.196E+02      
6.010E+00,     4.375E-01,     1.196E+02      
8.010E+00,     4.375E-01,     1.196E+02      
1.001E+01,     5.625E-01,     1.194E+02      
1.201E+01,     8.125E-01,     1.192E+02      
1.401E+01,     8.125E-01,     1.192E+02      
1.601E+01,     8.750E-01,     1.191E+02      
1.800E+01,     1.000E+00,     1.190E+02      
2.000E+01,     1.063E+00,     1.189E+02      
2.200E+01,     1.188E+00,     1.188E+02      
2.400E+01,     1.375E+00,     1.186E+02      
2.600E+01,     1.375E+00,     1.186E+02      
2.800E+01,     1.625E+00,     1.184E+02      
3.000E+01,     1.875E+00,     1.181E+02      
3.200E+01,     2.125E+00,     1.179E+02      
3.400E+01,     2.375E+00,     1.176E+02      
3.600E+01,     2.375E+00,     1.176E+02      
3.800E+01,     2.438E+00,     1.176E+02      
4.000E+01,     2.563E+00,     1.174E+02      
4.200E+01,     2.750E+00,     1.173E+02      
4.401E+01,     3.063E+00,     1.169E+02      
4.601E+01,     3.375E+00,     1.166E+02      
4.801E+01,     3.625E+00,     1.164E+02      
5.001E+01,     3.813E+00,     1.162E+02      
5.201E+01,     3.875E+00,     1.161E+02      
5.401E+01,     3.875E+00,     1.161E+02      
5.601E+01,     4.063E+00,     1.159E+02      
5.801E+01,     4.563E+00,     1.154E+02      
6.001E+01,     4.625E+00,     1.154E+02      
6.201E+01,     4.813E+00,     1.152E+02      
6.401E+01,     5.125E+00,     1.149E+02      
6.601E+01,     5.375E+00,     1.146E+02      
6.801E+01,     5.625E+00,     1.144E+02      
7.001E+01,     5.750E+00,     1.143E+02      
7.201E+01,     5.813E+00,     1.142E+02      
7.400E+01,     6.063E+00,     1.139E+02      
7.600E+01,     6.125E+00,     1.139E+02      
7.800E+01,     6.313E+00,     1.137E+02      
8.000E+01,     6.375E+00,     1.136E+02      
8.200E+01,     6.500E+00,     1.135E+02      
8.400E+01,     6.500E+00,     1.135E+02      
8.600E+01,     6.750E+00,     1.133E+02      
8.800E+01,     6.875E+00,     1.131E+02      
9.000E+01,     6.938E+00,     1.131E+02      
9.200E+01,     7.188E+00,     1.128E+02      
9.400E+01,     7.313E+00,     1.127E+02      
9.600E+01,     7.438E+00,     1.126E+02      
9.800E+01,     7.688E+00,     1.123E+02      
1.000E+02,     7.938E+00,     1.121E+02      
