#times,        event_counts,  pop_size       
0.000E+00,     0.000E+00,     1.200E+02      
2.000E+00,     5.625E-01,     1.194E+02      
4.000E+00,     1.000E+00,     1.190E+02      
6.020E+00,     1.563E+00,     1.184E+02      
8.020E+00,     1.813E+00,     1.182E+02      
1.002E+01,     2.313E+00,     1.177E+02      
1.202E+01,     2.688E+00,     1.173E+02      
1.402E+01,     2.938E+00,     1.171E+02      
1.602E+01,     2.938E+00,     1.171E+02      
1.802E+01,     2.938E+00,     1.171E+02      
2.002E+01,     3.313E+00,     1.167E+02      
2.202E+01,     3.750E+00,     1.163E+02      
2.402E+01,     4.000E+00,     1.160E+02      
2.602E+01,     4.688E+00,     1.153E+02      
2.802E+01,     5.000E+00,     1.150E+02      
3.002E+01,     5.625E+00,     1.144E+02      
3.202E+01,     5.875E+00,     1.141E+02      
3.402E+01,     6.375E+00,     1.136E+02      
3.600E+01,     6.938E+00,     1.131E+02      
3.800E+01,     7.250E+00,     1.128E+02      
4.000E+01,     7.750E+00,     1.123E+02      
4.200E+01,     8.250E+00,     1.118E+02      
4.400E+01,     8.875E+00,     1.111E+02      
4.600E+01,     9.188E+00,     1.108E+02      
4.800E+01,     9.813E+00,     1.102E+02      
5.000E+01,     1.013E+01,     1.099E+02      
5.200E+01,     1.038E+01,     1.096E+02      
5.400E+01,     1.069E+01,     1.093E+02      
5.600E+01,     1.100E+01,     1.090E+02      
5.800E+01,     1.156E+01,     1.084E+02      
6.000E+01,     1.181E+01,     1.082E+02      
6.200E+01,     1.225E+01,     1.078E+02      
6.400E+01,     1.244E+01,     1.076E+02      
6.600E+01,     1.275E+01,     1.073E+02      
6.800E+01,     1.325E+01,     1.068E+02      
7.000E+01,     1.369E+01,     1.063E+02      
7.200E+01,     1.413E+01,     1.059E+02      
7.400E+01,     1.444E+01,     1.056E+02      
7.600E+01,     1.456E+01,     1.054E+02      
7.800E+01,     1.500E+01,     1.050E+02      
8.000E+01,     1.550E+01,     1.045E+02      
8.200E+01,     1.581E+01,     1.042E+02      
8.400E+01,     1.594E+01,     1.041E+02      
8.600E+01,     1.619E+01,     1.038E+02      
8.802E+01,     1.656E+01,     1.034E+02      
9.002E+01,     1.688E+01,     1.031E+02      
9.202E+01,     1.700E+01,     1.030E+02      
9.402E+01,     1.706E+01,     1.029E+02      
9.602E+01,     1.725E+01,     1.028E+02      
9.802E+01,     1.750E+01,     1.025E+02      
1.000E+02,     1.756E+01,     1.024E+02      
